notice_id,ocid,supplier_name,party_id,ppon,companies_house_number_raw,supplier_address,website,source_file
061536-2026,ocds-h6vhtk-065d9d,Ever brite,GB-COH-01307015,,01307015,"Unit J Merlin Centre, Gatehouse Close; Aylesbury; HP19 8DP; United Kingdom",,061536-2026_release.json
061540-2026,ocds-h6vhtk-06c0d3,FUNDAPPS LTD,GB-COH-07380035,PJZR-1476-HQVH,07380035,6th Floor 9 Appold Street; London; EC2A 2AP; United Kingdom,,061540-2026_release.json
061563-2026,ocds-h6vhtk-05f6a7,Taking Care Personal Alarms Limited,GB-PPON-PBTZ-7632-HTPD,PBTZ-7632-HTPD,,"Linhay House, Linhay Business Park,; Ashburton, Devon; TQ13 7UP; United Kingdom",,061563-2026_release.json
061568-2026,ocds-h6vhtk-05f9c7,Birkin Cleaning Services Ltd,GB-COH-01057375,,01057375,"11 Magnet Road, West Thurrock; Grays; RM20 4DR; United Kingdom",,061568-2026_release.json
061576-2026,ocds-h6vhtk-069b28,Safetykleen UK Limited ,GB-PPON-PVCW-5191-CDGX,PVCW-5191-CDGX,,"Profile West, 950 Great West Road; Brentford; TW8 9ES ; United Kingdom",,061576-2026_release.json
061580-2026,ocds-h6vhtk-06be21,Polaris Britain Ltd,GB-COH-04187042,,04187042,"Unit 11, Forge Mills Park, Station Road,     Coleshill; Warkwickshire; B46 1JH; United Kingdom",,061580-2026_release.json
061585-2026,ocds-h6vhtk-068373,Morgan Lambert Limited,GB-PPON-PJTM-2766-RQDX,PJTM-2766-RQDX,,"Unit 5, Old Building Yard, Cortworth Lane; Rotherham; S62 7SB; United Kingdom",,061585-2026_release.json
061589-2026,ocds-h6vhtk-0663ad,Qwello (UK) Ltd,GB-PPON-PMHL-6768-VLYG,PMHL-6768-VLYG,,26-28 Mount Row; London; W1K3SQ; United Kingdom,,061589-2026_release.json
061594-2026,ocds-h6vhtk-06be21,Polaris Britain Ltd,GB-COH-04187042,,04187042,"Unit 11, Forge Mills Park, Station Road,     Coleshill; Warkwickshire; B46 1JH; United Kingdom",,061594-2026_release.json
061595-2026,ocds-h6vhtk-06c0f2,Speed Couriers Northern Ltd,GB-COH-04808389,,04808389,"Ht2 Westbrook Road, Trafford Park; Manchester; M17 1AY; United Kingdom",,061595-2026_release.json
061619-2026,ocds-h6vhtk-05dd32,CleanTEC Services Limited,GB-COH-04155336,,04155336,Unit 2 Handford Court; Hertfordshire; WD25 9EJ; United Kingdom,,061619-2026_release.json
061624-2026,ocds-h6vhtk-0673be,H W Martin Waste Ltd,GB-PPON-PHRC-1955-TYPP,PHRC-1955-TYPP,,"Alfreton Recycling Centre, Clover Nook Road, Cotes Park Industrial Estate; Somercotes; DE55 4RF; United Kingdom",,061624-2026_release.json
061644-2026,ocds-h6vhtk-06900d,Addiction Recovery Agency,GB-COH-2540814,PYXN-6285-RLCH,2540814,Kings Court King Street; Bristol; BS1 4EF; United Kingdom,,061644-2026_release.json
061660-2026,ocds-h6vhtk-06c118,Speed Couriers Northern Ltd,GB-COH-04808389,,04808389,"Ht2 Westbrook Road, Trafford Park; Manchester; M17 1AY; United Kingdom",,061660-2026_release.json
061662-2026,ocds-h6vhtk-0666c2,MICHELDEVER TYRE SERVICES LIMITED,GB-COH-01817398,PRGR-8343-VZVY,01817398,Micheldever Station; Hants; SO21 3AP; United Kingdom,,061662-2026_release.json
061662-2026,ocds-h6vhtk-0666c2,STAPLETON'S (TYRE SERVICES) LIMITED,GB-COH-00332098,PDXG-6679-WPXH,00332098,Fourth Avenue; Herts; SG6 2TT; United Kingdom,,061662-2026_release.json
061663-2026,ocds-h6vhtk-052491,GO SOUTH COAST LIMITED,GB-COH-03949597,PBYL-1316-QQHJ,03949597,3rd Floor 41-51 Grey Street; Newcastle Upon Tyne; NE1 6EE; United Kingdom,,061663-2026_release.json
061672-2026,ocds-h6vhtk-06837f,Washco Ltd,GB-COH-00231369,,00231369,Units 1 - 5 warwick Court; Ellough; NR34 7FD; United Kingdom,,061672-2026_release.json
